브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
스파클,"스파클 생수 무라벨, 2L, 18개",,"11,400원",스파클주식회사,2,개당 용량 × 총 수량: 2L × 18개,"수원지: 국내산, 쿠팡상품번호: 6830320694 - 18265450257",https://www.coupang.com/vp/products/6830320694?itemId=18265450257&vendorItemId=83406358914
탐사,"탐사수 무라벨, 500ml, 200개",,"37,490원",로켓배송,없음,개당 용량 × 총 수량: 500ml × 200개,"소비기한(또는 유통기한): 2024-08-07 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 19013170090",https://www.coupang.com/vp/products/5625704601?itemId=19013170090&vendorItemId=86137790576
,"제주 삼다수, 500ml, 80개",,"38,400원",로켓배송,55,개당 용량 × 총 수량: 500ml × 80개,"소비기한(또는 유통기한): 2025-03-26 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 설탕 함량: 무설탕, 쿠팡상품번호: 5585425593 - 20398537052",https://www.coupang.com/vp/products/5585425593?itemId=20398537052&vendorItemId=86469814060
스파클,"스파클 생수 무라벨, 500ml, 40개",,"7,900원",스파클주식회사,3,개당 용량 × 총 수량: 500ml × 40개,"수원지: 국내산, 가정용/업소용: 가정용, 쿠팡상품번호: 6830320694 - 19751768427",https://www.coupang.com/vp/products/6830320694?itemId=19751768427&vendorItemId=83406358826
,"제주 삼다수, 2L, 6개",,"6,400원",주식회사신세계라이브쇼핑,86,개당 용량 × 총 수량: 2L × 6개,"용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 비건 여부: --- 기타 ---, 설탕 함량: --- 기타 ---, 쿠팡상품번호: 5585425593 - 21327602165",https://www.coupang.com/vp/products/5585425593?itemId=21327602165&vendorItemId=82029249824
,"풀무원샘물 무라벨 생수, 2L, 12개",,"7,570원",로켓배송,3,개당 용량 × 총 수량: 2L × 12개,"소비기한(또는 유통기한): 2025-01-20 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 6239512369 - 12586277102",https://www.coupang.com/vp/products/6239512369?itemId=12586277102&vendorItemId=86494123005
,"농심 백산수, 2L, 12개",,"10,430원",로켓배송,47,개당 용량 × 총 수량: 2L × 12개,"소비기한(또는 유통기한): 2025-02-09 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 아시아, 비건 여부: 비건, 쿠팡상품번호: 4876313878 - 14902361999",https://www.coupang.com/vp/products/4876313878?itemId=14902361999&vendorItemId=3000337038
,"제주 삼다수, 500ml, 20개",,"9,860원",주식회사 제이와이제이아이앤씨,110,개당 용량 × 총 수량: 500ml × 20개,"용기 타입: 본상품선택, 라벨 유무: 라벨있음, 수원지: 국내산, 비건 여부: 1개, 설탕 함량: 1개, 쿠팡상품번호: 5585425593 - 21568242832",https://www.coupang.com/vp/products/5585425593?itemId=21568242832&vendorItemId=88387155317
탐사,"탐사 샘물, 2L, 24개",,"11,190원",로켓배송,없음,개당 용량 × 총 수량: 2L × 24개,"소비기한(또는 유통기한): 2025-02-01 이거나 그 이후인 상품, 쿠팡상품번호: 7689270513 - 20877904748",https://www.coupang.com/vp/products/7689270513?itemId=20877904748&vendorItemId=87945140914
탐사,"탐사 샘물, 500ml, 80개",,"14,990원",로켓배송,없음,개당 용량 × 총 수량: 500ml × 80개,"소비기한(또는 유통기한): 2025-02-01 이거나 그 이후인 상품, 쿠팡상품번호: 7689270513 - 20972233907",https://www.coupang.com/vp/products/7689270513?itemId=20972233907&vendorItemId=88037469841
