브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
탐사,"탐사수 무라벨, 330ml, 80개",,"16,990원",로켓배송,없음,개당 용량 × 총 수량: 330ml × 80개,"소비기한(또는 유통기한): 2024-07-22 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 19013169729",https://www.coupang.com/vp/products/5625704601?itemId=19013169729&vendorItemId=86137790201
,"커클랜드 먹는 샘물 2Lx6병x6팩 코스트코생수 미네랄워터 물 배달, 2L, 36개",,"21,600원",(주)현대홈쇼핑(온라인),36,개당 용량 × 총 수량: 2L × 36개,"용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 한국, 사용대상 구분: 남성용, 수량: 1개, 쿠팡상품번호: 3560460 - 16654938165",https://www.coupang.com/vp/products/3560460?itemId=16654938165&vendorItemId=81500735072
,"크리스탈 무라벨 생수, 2L, 36개",,"21,950원",주식회사 엑스플러스,3,개당 용량 × 총 수량: 2L × 36개,"수원지: 국내산, 가정용/업소용: 가정용, 쿠팡상품번호: 6750863294 - 16524379145",https://www.coupang.com/vp/products/6750863294?itemId=16524379145&vendorItemId=88698278619
석수,"하이트진로 석수, 2L, 30개",,"17,760원",로켓배송,9,개당 용량 × 총 수량: 2L × 30개,"소비기한(또는 유통기한): 2025-02-05 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 7294705282 - 16916521374",https://www.coupang.com/vp/products/7294705282?itemId=16916521374&vendorItemId=85072691997
,"강원 평창수 무라벨, 500ml, 100개",,"21,600원",로켓배송,4,개당 용량 × 총 수량: 500ml × 100개,"소비기한(또는 유통기한): 2024-11-10 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 음료수 종류: 생수, 쿠팡상품번호: 5269360716 - 20806575725",https://www.coupang.com/vp/products/5269360716?itemId=20806575725&vendorItemId=87875624190
,"아이시스 8.0 무라벨 ECO 생수, 1L, 18개",,"10,600원",로켓배송,없음,개당 용량 × 총 수량: 1L × 18개,"소비기한(또는 유통기한): 2024-10-03 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 음료수 종류: 생수, 쿠팡상품번호: 7865650251 - 21362339026",https://www.coupang.com/vp/products/7865650251?itemId=21362339026&vendorItemId=88408304148
,"아워홈 지리산수 핑크, 330ml, 100개",,"24,750원",로켓배송,7,개당 용량 × 총 수량: 330ml × 100개,"소비기한(또는 유통기한): 2024-10-14 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 설탕 함량: 무설탕, 대용량상품: Y, 쿠팡상품번호: 1357560685 - 18172584333",https://www.coupang.com/vp/products/1357560685?itemId=18172584333&vendorItemId=85321886867
,"몽베스트 생수, 500ml, 20개",,"6,200원",(주)온나인슈퍼,30,개당 용량 × 총 수량: 500ml × 20개,"용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 비건 여부: 1개, 설탕 함량: 1개, 쿠팡상품번호: 4683535861 - 103909323",https://www.coupang.com/vp/products/4683535861?itemId=103909323&vendorItemId=86750264207
,"농심 백산수, 500ml, 120개",,"42,510원",주식회사 서희에프앤비,6,개당 용량 × 총 수량: 500ml × 120개,"용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 아시아, 비건 여부: 비건, 설탕 함량: 무설탕, 쿠팡상품번호: 4876313878 - 19948984417",https://www.coupang.com/vp/products/4876313878?itemId=19948984417&vendorItemId=80582043670
석수,"석수 무라벨 생수, 2L, 36개",,"21,560원",로켓배송,5,개당 용량 × 총 수량: 2L × 36개,"소비기한(또는 유통기한): 2024-10-11 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 대용량상품: Y, 쿠팡상품번호: 5408677138 - 19421825349",https://www.coupang.com/vp/products/5408677138?itemId=19421825349&vendorItemId=87017278653
,"아워홈 지리산수, 2L, 24개",,"14,500원",로켓배송,28,개당 용량 × 총 수량: 2L × 24개,"소비기한(또는 유통기한): 2024-10-17 이거나 그 이후인 상품, 수원지: 국내산, 용기 타입: 플라스틱병, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 6673761816 - 19909007504",https://www.coupang.com/vp/products/6673761816?itemId=19909007504&vendorItemId=86495568514
탐사,"제주 탐사수, 2L, 24개",,"16,590원",로켓배송,없음,개당 용량 × 총 수량: 2L × 24개,"소비기한(또는 유통기한): 2025-05-06 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 쿠팡상품번호: 1254071808 - 19013177527",https://www.coupang.com/vp/products/1254071808?itemId=19013177527&vendorItemId=86137797416
,"지리산물하나 ECO 생수, 2L, 12개",,"6,690원",(주)화인바이오,3,개당 용량 × 총 수량: 2L × 12개,"용기 타입: 플라스틱병, 수원지: 국내산, 음료수 종류: 생수, 라벨 유무: 무라벨, 가정용/업소용: 가정용, 쿠팡상품번호: 6778991635 - 19343174502",https://www.coupang.com/vp/products/6778991635?itemId=19343174502&vendorItemId=89926992058
동원샘물,"동원샘물 생수, 300ml, 80개",,"17,200원",로켓배송,28,개당 용량 × 총 수량: 300ml × 80개,"소비기한(또는 유통기한): 2024-06-26 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 대용량상품: Y, 쿠팡상품번호: 7856464110 - 19381407656",https://www.coupang.com/vp/products/7856464110?itemId=19381407656&vendorItemId=86493938822
가야산천년수,"천년수 생수, 2L, 36개",,"19,450원",로켓배송,없음,개당 용량 × 총 수량: 2L × 36개,"소비기한(또는 유통기한): 2024-08-20 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 음료수 종류: 생수, 쿠팡상품번호: 7017448172 - 20216456801",https://www.coupang.com/vp/products/7017448172?itemId=20216456801&vendorItemId=87306238683
탐사,"제주 탐사수, 2L, 36개",,"23,290원",로켓배송,없음,개당 용량 × 총 수량: 2L × 36개,"소비기한(또는 유통기한): 2025-05-06 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 쿠팡상품번호: 1254071808 - 19013177916",https://www.coupang.com/vp/products/1254071808?itemId=19013177916&vendorItemId=86137797842
,"백산수 무라벨 생수, 330ml, 40개",,"13,820원",로켓배송,9,개당 용량 × 총 수량: 330ml × 40개,"소비기한(또는 유통기한): 2025-04-04 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 아시아, 비건 여부: 비건, 쿠팡상품번호: 6393352093 - 20031250396",https://www.coupang.com/vp/products/6393352093?itemId=20031250396&vendorItemId=86494114572
스파클,"스파클 생수, 2L, 48개",,"26,190원",스파클주식회사,없음,개당 용량 × 총 수량: 2L × 48개,"수원지: 국내산, 쿠팡상품번호: 1653706 - 17204434766",https://www.coupang.com/vp/products/1653706?itemId=17204434766&vendorItemId=82253020416
,"몽베스트 생수 500mLx20병+330mLx20병, 500ml, 1세트",,"12,900원",주식회사 온누리스토어,2,개당 용량 × 총 수량: 500ml × 1세트,"수원지: 국내산, 음료 세트구성: 단품세트, 가정용/업소용: 가정용, 쿠팡상품번호: 6094848760 - 11384921767",https://www.coupang.com/vp/products/6094848760?itemId=11384921767&vendorItemId=87638079579
,"아이시스 생수, 2L, 36개",,"24,670원",로켓배송,2,개당 용량 × 총 수량: 2L × 36개,"소비기한(또는 유통기한): 2024-09-16 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 대용량상품: Y, 쿠팡상품번호: 7229656613 - 18341916876",https://www.coupang.com/vp/products/7229656613?itemId=18341916876&vendorItemId=86949016535
탐사,"탐사 샘물, 2L, 30개",,"13,490원",로켓배송,없음,개당 용량 × 총 수량: 2L × 30개,"소비기한(또는 유통기한): 2025-02-01 이거나 그 이후인 상품, 쿠팡상품번호: 7689270513 - 20877904956",https://www.coupang.com/vp/products/7689270513?itemId=20877904956&vendorItemId=87945141062
,"아워홈 지리산수 무라벨, 2L, 12개",,"7,300원",로켓배송,11,개당 용량 × 총 수량: 2L × 12개,"소비기한(또는 유통기한): 2024-10-17 이거나 그 이후인 상품, 수원지: 국내산, 용기 타입: 플라스틱병, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 6673761816 - 17836675801",https://www.coupang.com/vp/products/6673761816?itemId=17836675801&vendorItemId=86495568407
탐사,"탐사수 무라벨, 330ml, 40개",,"8,890원",로켓배송,없음,개당 용량 × 총 수량: 330ml × 40개,"소비기한(또는 유통기한): 2024-07-22 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 11650491074",https://www.coupang.com/vp/products/5625704601?itemId=11650491074&vendorItemId=78924935203
,"아워홈 지리산수 무라벨, 2L, 36개",,"20,900원",로켓배송,2,개당 용량 × 총 수량: 2L × 36개,"소비기한(또는 유통기한): 2024-10-17 이거나 그 이후인 상품, 수원지: 국내산, 용기 타입: 플라스틱병, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 6673761816 - 18956725064",https://www.coupang.com/vp/products/6673761816?itemId=18956725064&vendorItemId=86949016319
,[수질적합]에브리데이 산수 산수 생수 1리터,,"9,890원",㈜ 일주일아이앤씨,없음,개당 용량 × 총 수량: 1L × 24개,"가정용/업소용: 가정용, 쿠팡상품번호: 7857887213 - 21436023995",https://www.coupang.com/vp/products/7857887213?itemId=21436023995&vendorItemId=80241539075
,"아이시스 8.0 무라벨 ECO 생수, 2L, 24개",,"19,000원",로켓배송,9,개당 용량 × 총 수량: 2L × 24개,"소비기한(또는 유통기한): 2024-09-18 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 음료수 종류: 생수, 쿠팡상품번호: 6954270009 - 21474333587",https://www.coupang.com/vp/products/6954270009?itemId=21474333587&vendorItemId=86467813350
스파클,"스파클 생수, 2L, 12개",,"8,400원",스파클주식회사,없음,개당 용량 × 총 수량: 2L × 12개,"용기 타입: 플라스틱병, 수원지: 국내산, 쿠팡상품번호: 1653706 - 18726686055",https://www.coupang.com/vp/products/1653706?itemId=18726686055&vendorItemId=70286435628
,"제주삼다수 그린, 330ml, 120개",,"51,600원",로켓배송,21,개당 용량 × 총 수량: 330ml × 120개,"소비기한(또는 유통기한): 2025-03-06 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 비건 여부: 비건, 쿠팡상품번호: 7666070794 - 16223180258",https://www.coupang.com/vp/products/7666070794?itemId=16223180258&vendorItemId=87356923683
,"풀무원샘물 무라벨 생수 330ml x 20개 미니생수 생수330 물배달, 330ml, 20개",,"6,770원",주식회사 서희에프앤비,17,개당 용량 × 총 수량: 330ml × 20개,"수원지: 국내산, 가정용/업소용: 가정용, 쿠팡상품번호: 6239512369 - 21326899655",https://www.coupang.com/vp/products/6239512369?itemId=21326899655&vendorItemId=89765155792
가야산천년수,"천년수 무라벨 생수, 2L, 12개",,"6,490원",로켓배송,3,개당 용량 × 총 수량: 2L × 12개,"소비기한(또는 유통기한): 2024-09-20 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 음료수 종류: 생수, 라벨 유무: 무라벨, 쿠팡상품번호: 6203736108 - 15541287041",https://www.coupang.com/vp/products/6203736108?itemId=15541287041&vendorItemId=86493934415
,"정식품 심천수 샘물 2LX12팩, 2L, 12개",,"7,900원",(주)오쎄,없음,개당 용량 × 총 수량: 2L × 12개,"수원지: 국내산, 쿠팡상품번호: 5449919396 - 57072032",https://www.coupang.com/vp/products/5449919396?itemId=57072032&vendorItemId=3089440631
탐사,"탐사수, 330ml, 120개",,"24,690원",로켓배송,없음,개당 용량 × 총 수량: 330ml × 120개,"소비기한(또는 유통기한): 2024-07-22 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 라벨 유무: 유라벨, 쿠팡상품번호: 27613130 - 19013173037",https://www.coupang.com/vp/products/27613130?itemId=19013173037&vendorItemId=86137793661
탐사,"탐사수 무라벨, 330ml, 120개",,"24,990원",로켓배송,없음,개당 용량 × 총 수량: 330ml × 120개,"소비기한(또는 유통기한): 2024-07-22 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 19013169631",https://www.coupang.com/vp/products/5625704601?itemId=19013169631&vendorItemId=86137790128
,"에브리데이 가벼운샘, 2L, 6개",,"4,300원",㈜엔에스쇼핑,2,개당 용량 × 총 수량: 2L × 6개,"용기 타입: 플라스틱병, 쿠팡상품번호: 7461157092 - 14636519362",https://www.coupang.com/vp/products/7461157092?itemId=14636519362&vendorItemId=78772047871
스파클,"스파클 생수 무라벨, 500ml, 20개",,"6,000원",스파클주식회사,5,개당 용량 × 총 수량: 500ml × 20개,"수원지: 국내산, 쿠팡상품번호: 6830320694 - 16212148885",https://www.coupang.com/vp/products/6830320694?itemId=16212148885&vendorItemId=83406358818
,"농심 백산수 1L, 1L, 6개",,"5,900원",주식회사 탑라이프물산 고양지점,10,개당 용량 × 총 수량: 1L × 6개,"용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 백두산, 쿠팡상품번호: 4876313878 - 20402701818",https://www.coupang.com/vp/products/4876313878?itemId=20402701818&vendorItemId=73451994129
,"아이시스 8.0 500ml 20병 라벨 랜덤 발송 생수 휴대용생수 미니생수, 500ml, 20개",,"6,980원",꾸미라,2,개당 용량 × 총 수량: 500ml × 20개,"용기 타입: 플라스틱병, 수원지: 국내산, 라벨 유무: 유라벨, 쿠팡상품번호: 7236053068 - 17993081369",https://www.coupang.com/vp/products/7236053068?itemId=17993081369&vendorItemId=88115965036
,"강원평창수 무라벨 생수, 500ml, 20개",,"4,640원",해태에이치티비(주),없음,개당 용량 × 총 수량: 500ml × 20개,"용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 쿠팡상품번호: 5269360716 - 18917608336",https://www.coupang.com/vp/products/5269360716?itemId=18917608336&vendorItemId=85872313074
석수,"석수, 500ml, 100개",,"21,910원",로켓배송,9,개당 용량 × 총 수량: 500ml × 100개,"소비기한(또는 유통기한): 2024-09-18 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 7294705282 - 315753898",https://www.coupang.com/vp/products/7294705282?itemId=315753898&vendorItemId=87030316932
,"아이시스 생수, 2L, 12개",,"8,840원",로켓배송,없음,개당 용량 × 총 수량: 2L × 12개,"소비기한(또는 유통기한): 2024-09-16 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 대용량상품: undefined, 쿠팡상품번호: 7229656613 - 20199426275",https://www.coupang.com/vp/products/7229656613?itemId=20199426275&vendorItemId=86493563255
오리온제주용암수,"오리온 닥터유 제주용암수, 330ml, 80개",,"20,400원",로켓배송,7,개당 용량 × 총 수량: 330ml × 80개,"소비기한(또는 유통기한): 2025-04-24 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 설탕 함량: 무설탕, 음료수 종류: --- 기타 ---, 쿠팡상품번호: 4944747674 - 19517692168",https://www.coupang.com/vp/products/4944747674?itemId=19517692168&vendorItemId=86433747694
탐사,"탐사수, 500ml, 60개",,"12,590원",로켓배송,없음,개당 용량 × 총 수량: 500ml × 60개,"소비기한(또는 유통기한): 2024-08-11 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 라벨 유무: 유라벨, 쿠팡상품번호: 27613130 - 902605738",https://www.coupang.com/vp/products/27613130?itemId=902605738&vendorItemId=5262100721
,"자연드림 종이팩 해양심층수 기픈물_마그네슘 강화, 330ml, 18개",,"20,460원",주식회사 자연드림,없음,개당 용량 × 총 수량: 330ml × 18개,"용기 타입: 종이팩, 수원지: 국내산(강원도고성), 유기농/친환경 등: 인증 있음, 가정용/업소용: 가정용, 쿠팡상품번호: 7170031032 - 20176589195",https://www.coupang.com/vp/products/7170031032?itemId=20176589195&vendorItemId=89455139323
,"풀무원 퓨어 생수, 2L, 12개",,"6,900원",로켓배송,없음,개당 용량 × 총 수량: 2L × 12개,"소비기한(또는 유통기한): 2024-12-24 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 국내산, 음료수 종류: 생수, 쿠팡상품번호: 8010806804 - 22349113631",https://www.coupang.com/vp/products/8010806804?itemId=22349113631&vendorItemId=86494112156
탐사,"탐사수 무라벨, 330ml, 160개",,"32,980원",로켓배송,없음,개당 용량 × 총 수량: 330ml × 160개,"소비기한(또는 유통기한): 2024-07-22 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 19013169748",https://www.coupang.com/vp/products/5625704601?itemId=19013169748&vendorItemId=86137790222
,"아이시스 생수, 2L, 24개",,"16,450원",로켓배송,없음,,"소비기한(또는 유통기한): 2024-09-16 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 라벨없음, 수원지: 국내산, 대용량상품: Y, 쿠팡상품번호: 7229656613 - 18927044336",https://www.coupang.com/vp/products/7229656613?itemId=18927044336&vendorItemId=86493563427
