Name,Price,Link,Img_url
"풀무원샘물 무라벨 생수, 2L, 12개","7,570",https://www.coupang.com/vp/products/6239512369?itemId=12586277102&vendorItemId=86494123005,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/a775d586-0d19-4b1a-8964-d26bbad97ebd8334599150799230341.png
"농심 백산수, 2L, 12개","10,430",https://www.coupang.com/vp/products/4876313878?itemId=14902361999&vendorItemId=3000337038,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/3566093579867761-84bd0bf9-d016-4203-b102-0cdb27d9dcd7.jpg
"제주 삼다수, 500ml, 20개","9,860",https://www.coupang.com/vp/products/5585425593?itemId=21568242832&vendorItemId=88387155317,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/e12a/5540d14c2a404623a315f84ecf310b1f2ce1495a431ac3d421124766cb24.jpg
"탐사 샘물, 2L, 24개","11,190",https://www.coupang.com/vp/products/7689270513?itemId=20877904748&vendorItemId=87945140914,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/6748198422425156-c12f0193-0e3a-4b9b-a7a8-b22e9502dda9.jpg
"탐사 샘물, 500ml, 80개","14,990",https://www.coupang.com/vp/products/7689270513?itemId=20972233907&vendorItemId=88037469841,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/295860378265658-63553d68-ba73-46f1-a103-61775214974c.jpg
"휘오 다이아몬드 EC 네추럴 미네랄 워터, 300ml, 40개","11,460",https://www.coupang.com/vp/products/2213229154?itemId=18454923143&vendorItemId=79449308055,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/26a9/078d8445d143da7c487bdc5e113f38b17b168a5cd30de5410ed7d2d89e80.jpg
"풀무원샘물 무라벨 생수, 500ml, 60개","10,960",https://www.coupang.com/vp/products/6239512369?itemId=12586277100&vendorItemId=87491312043,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/76e6/568c9d533b6ca70446ec4be792cdef0891c6d54bf437fb743da12caf1a68.JPG
"백산수 무라벨 생수, 12개, 2L","10,340",https://www.coupang.com/vp/products/7990804172?itemId=19953705820&vendorItemId=86494109740,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/253890727881136-195b7efa-8803-40b4-96bf-14d448287b7a.jpg
"제주 탐사수, 2L, 6개","4,890",https://www.coupang.com/vp/products/1254071808?itemId=2380530533&vendorItemId=70376058177,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/31845712204986-7f7d538d-8a3f-4ada-ae55-4e04382185fe.jpg
"백산수 무라벨 생수, 500ml, 40개","14,900",https://www.coupang.com/vp/products/6393352093?itemId=18156073883&vendorItemId=86494112260,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/54869226069068-65fd15df-fb01-43ef-93e7-88d576df866a.jpg
"휘오 다이아몬드 EC 네추럴 미네랄 워터, 500ml, 40개","9,360",https://www.coupang.com/vp/products/2213229154?itemId=6389453593&vendorItemId=4573656406,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/6217/e81b865a6be91f9f4fcdf3a74411f125baf6da876dbd7de3b1e3470306fd.jpg
"백산수 생수, 1L, 24개","15,990",https://www.coupang.com/vp/products/4876313878?itemId=18080689190&vendorItemId=86828904111,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/54649136648207-34428d3a-1b5e-4626-8968-eab992113e9a.jpg
"탐사수 무라벨, 500ml, 80개","15,990",https://www.coupang.com/vp/products/5625704601?itemId=19013169967&vendorItemId=86137790400,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/6e47b8bc-57f0-43a4-8994-4869801592ae562908152448285786.png
"동원샘물 생수 2L * 24병, 24개","14,550",https://www.coupang.com/vp/products/7994141013?itemId=22230752566&vendorItemId=85293566037,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/692c/0231f56256c7c664ccd5c822984d58968646a4726337759352f4351ad669.jpg
"스파클 생수 무라벨, 2L, 12개","7,830",https://www.coupang.com/vp/products/6830320694?itemId=19341845171&vendorItemId=83406358765,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/66ce/11cdf44051bd847e21c47b8f9f4b613dd174ca18035ce3c49339072093ff.jpg
"강원 평창수 무라벨, 2L, 12개","7,920",https://www.coupang.com/vp/products/5269360716?itemId=7505540780&vendorItemId=86495568251,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/457676108917498-c50bb825-facc-419b-93d0-b73a22ec4ea1.jpg
